Suggested controlled values,,,,,
source_type,practice_action,outcome_type,theme,affect,influence_on_direction
reading,reframing,insight,participation,energised,strengthened
supervision,documenting,clarification,method,unsettled,shifted
making,prototyping,dead end,interaction,frustrated,disrupted
workshop,testing,redirection,visualisation,curious,opened
coding,writing,confidence,materiality,excited,closed
critique,mapping,question,reflexivity,uncertain,stalled
conversation,,refinement,theory,,
